time,droplet,gridsearch,random,ga,xgb,ansor
100,58.3247,78.2207,21.7975,22.3670,20.3887,25.7025
500,24.5224,27.3838,18.5793,18.7730,18.3452,25.6691
1000,21.2209,22.2312,17.5961,18.4401,17.9778,23.4096
2500,18.2318,18.6505,17.5700,17.8010,17.7179,16.3784
5000,18.1736,17.7555,17.9079,17.5329,17.5415,16.3533
