time,droplet,gridsearch,random,ga,xgb,ansor,
100,505.5023,527.7414,123.6775,129.8931,126.5856,138.0429,
500,143.2235,184.9916,113.8582,116.2587,110.2867,139.5959,
1000,117.2548,144.9741,106.1730,109.2815,108.0198,130.9993,
2500,107.2383,114.5580,104.2807,106.3103,102.3603,110.7814,
5000,106.9796,102.3264,103.6869,104.5716,101.8566,104.2366,
