sum,A,B,t0
2792901376.00, 64, 80, 115.6510
2792901376.00, 64, 88, 115.5846
2792901376.00, 64, 96, 115.8035
2792901376.00, 64, 104, 115.7304
2792901376.00, 64, 112, 115.7258
2792901376.00, 64, 120, 115.6771
2792901376.00, 64, 128, 115.7349
2792901376.00, 72, 0, 49.2906
2792901376.00, 72, 8, 115.1056
2792901376.00, 72, 16, 114.7240
2792901376.00, 72, 24, 114.9149
2792901376.00, 72, 32, 114.6743
2792901376.00, 72, 40, 115.3730
2792901376.00, 72, 48, 115.6008
2792901376.00, 72, 56, 115.4782
2792901376.00, 72, 64, 115.5610
2792901376.00, 72, 72, 115.1701
2792901376.00, 72, 80, 113.8468
2792901376.00, 72, 88, 115.5796
2792901376.00, 72, 96, 115.4946
2792901376.00, 72, 104, 115.5201
2792901376.00, 72, 112, 115.5751
2792901376.00, 72, 120, 115.4977
2792901376.00, 72, 128, 115.5817
2792901376.00, 80, 0, 49.3183
2792901376.00, 80, 8, 115.4433
2792901376.00, 80, 16, 115.4083
2792901376.00, 80, 24, 115.2580
2792901376.00, 80, 32, 115.2220
2792901376.00, 80, 40, 115.2783
2792901376.00, 80, 48, 115.2910
2792901376.00, 80, 56, 115.2891
2792901376.00, 80, 64, 115.2363
2792901376.00, 80, 72, 115.2002
2792901376.00, 80, 80, 115.2490
2792901376.00, 80, 88, 115.0046
2792901376.00, 80, 96, 115.2891
2792901376.00, 80, 104, 115.3009
2792901376.00, 80, 112, 115.3104
2792901376.00, 80, 120, 115.2954
2792901376.00, 80, 128, 115.2657
2792901376.00, 88, 0, 49.2550
2792901376.00, 88, 8, 114.8926
2792901376.00, 88, 16, 115.3020
2792901376.00, 88, 24, 114.8450
2792901376.00, 88, 32, 114.6620
2792901376.00, 88, 40, 114.7156
2792901376.00, 88, 48, 115.2764
2792901376.00, 88, 56, 115.2272
2792901376.00, 88, 64, 115.2557
2792901376.00, 88, 72, 115.2490
2792901376.00, 88, 80, 115.2359
2792901376.00, 88, 88, 115.2393
2792901376.00, 88, 96, 115.2157
2792901376.00, 88, 104, 115.2434
2792901376.00, 88, 112, 115.2303
2792901376.00, 88, 120, 115.2085
2792901376.00, 88, 128, 115.2454
2792901376.00, 96, 0, 49.3461
2792901376.00, 96, 8, 115.4855
2792901376.00, 96, 16, 115.4638
2792901376.00, 96, 24, 115.3323
2792901376.00, 96, 32, 115.2743
2792901376.00, 96, 40, 115.3113
2792901376.00, 96, 48, 115.3774
2792901376.00, 96, 56, 114.4972
2792901376.00, 96, 64, 115.2004
2792901376.00, 96, 72, 115.2862
2792901376.00, 96, 80, 114.9516
2792901376.00, 96, 88, 115.1658
2792901376.00, 96, 96, 116.2229
2792901376.00, 96, 104, 116.1538
2792901376.00, 96, 112, 116.1476
2792901376.00, 96, 120, 115.8156
2792901376.00, 96, 128, 116.2746
2792901376.00, 104, 0, 50.2626
2792901376.00, 104, 8, 116.4061
2792901376.00, 104, 16, 116.3854
2792901376.00, 104, 24, 115.9406
2792901376.00, 104, 32, 115.3437
2792901376.00, 104, 40, 116.2987
2792901376.00, 104, 48, 115.8881
2792901376.00, 104, 56, 115.7929
2792901376.00, 104, 64, 116.1119
2792901376.00, 104, 72, 115.4562
2792901376.00, 104, 80, 116.2517
2792901376.00, 104, 88, 115.5755
2792901376.00, 104, 96, 116.1993
2792901376.00, 104, 104, 116.1617
2792901376.00, 104, 112, 116.3168
2792901376.00, 104, 120, 116.2803
2792901376.00, 104, 128, 115.5095
2792901376.00, 112, 0, 50.4658
