sum,A,B,t0
2792901376.00, 64, 80, 11.3106
2792901376.00, 64, 88, 11.3327
2792901376.00, 64, 96, 11.3661
2792901376.00, 64, 104, 11.3700
2792901376.00, 64, 112, 11.3787
2792901376.00, 64, 120, 11.4034
2792901376.00, 64, 128, 11.4326
2792901376.00, 72, 0, 76.1865
2792901376.00, 72, 8, 11.3908
2792901376.00, 72, 16, 11.2040
2792901376.00, 72, 24, 11.3245
2792901376.00, 72, 32, 11.3903
2792901376.00, 72, 40, 11.3284
2792901376.00, 72, 48, 11.2899
2792901376.00, 72, 56, 11.3146
2792901376.00, 72, 64, 11.3409
2792901376.00, 72, 72, 11.3164
2792901376.00, 72, 80, 11.3244
2792901376.00, 72, 88, 11.3550
2792901376.00, 72, 96, 11.3977
2792901376.00, 72, 104, 11.4097
2792901376.00, 72, 112, 11.4285
2792901376.00, 72, 120, 11.4543
2792901376.00, 72, 128, 11.4637
2792901376.00, 80, 0, 76.1864
2792901376.00, 80, 8, 11.3467
2792901376.00, 80, 16, 11.1788
2792901376.00, 80, 24, 11.3076
2792901376.00, 80, 32, 11.3422
2792901376.00, 80, 40, 11.2763
2792901376.00, 80, 48, 11.2620
2792901376.00, 80, 56, 11.3096
2792901376.00, 80, 64, 11.3485
2792901376.00, 80, 72, 11.3356
2792901376.00, 80, 80, 11.3391
2792901376.00, 80, 88, 11.3795
2792901376.00, 80, 96, 11.4285
2792901376.00, 80, 104, 11.4450
2792901376.00, 80, 112, 11.4598
2792901376.00, 80, 120, 11.4732
2792901376.00, 80, 128, 11.4738
2792901376.00, 88, 0, 76.1900
2792901376.00, 88, 8, 11.3037
2792901376.00, 88, 16, 11.1458
2792901376.00, 88, 24, 11.2439
2792901376.00, 88, 32, 11.2995
2792901376.00, 88, 40, 11.2402
2792901376.00, 88, 48, 11.2299
2792901376.00, 88, 56, 11.2967
2792901376.00, 88, 64, 11.3536
2792901376.00, 88, 72, 11.3536
2792901376.00, 88, 80, 11.3685
2792901376.00, 88, 88, 11.4153
2792901376.00, 88, 96, 11.4739
2792901376.00, 88, 104, 11.4759
2792901376.00, 88, 112, 11.4945
2792901376.00, 88, 120, 11.5038
2792901376.00, 88, 128, 11.4962
2792901376.00, 96, 0, 76.1998
2792901376.00, 96, 8, 11.2628
2792901376.00, 96, 16, 11.1146
2792901376.00, 96, 24, 11.2128
2792901376.00, 96, 32, 11.2585
2792901376.00, 96, 40, 11.2565
2792901376.00, 96, 48, 11.2007
2792901376.00, 96, 56, 11.3099
2792901376.00, 96, 64, 11.3878
2792901376.00, 96, 72, 11.4098
2792901376.00, 96, 80, 11.4519
2792901376.00, 96, 88, 11.4595
2792901376.00, 96, 96, 11.4938
2792901376.00, 96, 104, 11.5008
2792901376.00, 96, 112, 11.5126
2792901376.00, 96, 120, 11.5167
2792901376.00, 96, 128, 11.5099
2792901376.00, 104, 0, 76.1858
2792901376.00, 104, 8, 11.2232
2792901376.00, 104, 16, 11.0863
2792901376.00, 104, 24, 11.1887
2792901376.00, 104, 32, 11.2468
2792901376.00, 104, 40, 11.2047
2792901376.00, 104, 48, 11.2006
2792901376.00, 104, 56, 11.3135
