sum,A,B,t0
2792901376.00, 64, 80, 13.8667
2792901376.00, 64, 88, 13.7246
2792901376.00, 64, 96, 13.5152
2792901376.00, 64, 104, 13.4426
2792901376.00, 64, 112, 13.3002
2792901376.00, 64, 120, 13.1586
2792901376.00, 64, 128, 13.0888
2792901376.00, 72, 0, 185.5468
2792901376.00, 72, 8, 33.5339
2792901376.00, 72, 16, 22.5852
2792901376.00, 72, 24, 18.9398
2792901376.00, 72, 32, 17.1147
2792901376.00, 72, 40, 16.0393
2792901376.00, 72, 48, 15.3259
2792901376.00, 72, 56, 14.8211
2792901376.00, 72, 64, 14.4624
2792901376.00, 72, 72, 14.1793
2792901376.00, 72, 80, 13.8956
2792901376.00, 72, 88, 13.7515
2792901376.00, 72, 96, 13.5397
2792901376.00, 72, 104, 13.4705
2792901376.00, 72, 112, 13.3296
2792901376.00, 72, 120, 13.1887
2792901376.00, 72, 128, 13.1178
2792901376.00, 80, 0, 185.5625
2792901376.00, 80, 8, 33.5494
2792901376.00, 80, 16, 22.5844
2792901376.00, 80, 24, 18.9483
2792901376.00, 80, 32, 17.1269
2792901376.00, 80, 40, 16.0475
2792901376.00, 80, 48, 15.3297
2792901376.00, 80, 56, 14.8274
2792901376.00, 80, 64, 14.4721
2792901376.00, 80, 72, 14.1874
2792901376.00, 80, 80, 13.9045
2792901376.00, 80, 88, 13.7627
2792901376.00, 80, 96, 13.5524
2792901376.00, 80, 104, 13.4797
2792901376.00, 80, 112, 13.3380
2792901376.00, 80, 120, 13.1974
2792901376.00, 80, 128, 13.1486
2792901376.00, 88, 0, 186.6717
2792901376.00, 88, 8, 33.6995
2792901376.00, 88, 16, 22.6807
2792901376.00, 88, 24, 19.0163
2792901376.00, 88, 32, 17.1809
2792901376.00, 88, 40, 16.0908
2792901376.00, 88, 48, 15.3650
2792901376.00, 88, 56, 14.8579
2792901376.00, 88, 64, 14.4992
2792901376.00, 88, 72, 14.2142
2792901376.00, 88, 80, 13.9307
2792901376.00, 88, 88, 13.7852
2792901376.00, 88, 96, 13.5708
2792901376.00, 88, 104, 13.4995
2792901376.00, 88, 112, 13.3602
2792901376.00, 88, 120, 13.2184
2792901376.00, 88, 128, 13.1481
2792901376.00, 96, 0, 186.6712
2792901376.00, 96, 8, 33.7077
2792901376.00, 96, 16, 22.6862
2792901376.00, 96, 24, 19.0140
2792901376.00, 96, 32, 17.1866
2792901376.00, 96, 40, 16.0870
2792901376.00, 96, 48, 15.3596
2792901376.00, 96, 56, 14.8525
2792901376.00, 96, 64, 14.4960
2792901376.00, 96, 72, 14.2101
2792901376.00, 96, 80, 13.9241
2792901376.00, 96, 88, 13.7801
2792901376.00, 96, 96, 13.5699
2792901376.00, 96, 104, 13.4999
2792901376.00, 96, 112, 13.3562
2792901376.00, 96, 120, 13.2109
2792901376.00, 96, 128, 13.1405
2792901376.00, 104, 0, 186.6725
2792901376.00, 104, 8, 33.7312
2792901376.00, 104, 16, 22.7063
2792901376.00, 104, 24, 19.0307
2792901376.00, 104, 32, 17.1972
2792901376.00, 104, 40, 16.1048
2792901376.00, 104, 48, 15.3788
2792901376.00, 104, 56, 14.8693
2792901376.00, 104, 64, 14.5114
2792901376.00, 104, 72, 14.2257
2792901376.00, 104, 80, 13.9425
2792901376.00, 104, 88, 13.7980
2792901376.00, 104, 96, 13.5870
2792901376.00, 104, 104, 13.5160
2792901376.00, 104, 112, 13.3744
2792901376.00, 104, 120, 13.2465
2792901376.00, 104, 128, 13.1619
2792901376.00, 112, 0, 186.6579
2792901376.00, 112, 8, 33.7358
2792901376.00, 112, 16, 22.7055
2792901376.00, 112, 24, 19.0236
2792901376.00, 112, 32, 17.1904
2792901376.00, 112, 40, 16.0946
2792901376.00, 112, 48, 15.3726
2792901376.00, 112, 56, 14.8654
2792901376.00, 112, 64, 14.5098
2792901376.00, 112, 72, 14.2379
2792901376.00, 112, 80, 13.9380
2792901376.00, 112, 88, 13.7921
2792901376.00, 112, 96, 13.5815
2792901376.00, 112, 104, 13.5122
2792901376.00, 112, 112, 13.3712
2792901376.00, 112, 120, 13.2277
2792901376.00, 112, 128, 13.1571
2792901376.00, 120, 0, 186.6734
2792901376.00, 120, 8, 33.7535
2792901376.00, 120, 16, 22.7346
2792901376.00, 120, 24, 19.0494
2792901376.00, 120, 32, 17.2108
2792901376.00, 120, 40, 16.1175
2792901376.00, 120, 48, 15.3980
2792901376.00, 120, 56, 14.8902
2792901376.00, 120, 64, 14.5340
2792901376.00, 120, 72, 14.2480
2792901376.00, 120, 80, 13.9629
2792901376.00, 120, 88, 13.8215
2792901376.00, 120, 96, 13.6074
2792901376.00, 120, 104, 13.5392
2792901376.00, 120, 112, 13.3962
2792901376.00, 120, 120, 13.2527
2792901376.00, 120, 128, 13.1848
2792901376.00, 128, 0, 186.6554
2792901376.00, 128, 8, 33.7553
2792901376.00, 128, 16, 22.7366
2792901376.00, 128, 24, 19.0510
2792901376.00, 128, 32, 17.2417
2792901376.00, 128, 40, 16.1246
2792901376.00, 128, 48, 15.4039
2792901376.00, 128, 56, 14.8978
2792901376.00, 128, 64, 14.5406
2792901376.00, 128, 72, 14.2546
2792901376.00, 128, 80, 13.9728
2792901376.00, 128, 88, 13.8263
2792901376.00, 128, 96, 13.6127
2792901376.00, 128, 104, 13.5470
2792901376.00, 128, 112, 13.4018
2792901376.00, 128, 120, 13.2588
2792901376.00, 128, 128, 13.1882
