
results/vgg-16/nitro5/droplet/summary.log
0.7635,0.0410,19.41
15.5471,0.0551,84.36
7.9047,0.0398,64.00
15.3724,0.0362,105.46
7.4426,0.0221,50.73
14.8710,0.0221,87.70
7.8258,0.0339,55.19
15.3434,0.0437,94.48
4.2128,0.0468,49.68
144.8964,0.6501,611.01
results/vgg-16/nitro5/gridsearch/summary.log
1.2072,0.0045,125.50
15.7429,0.1650,836.22
7.6264,0.0297,704.07
15.1388,0.0609,1079.28
7.9812,0.1955,843.24
17.8394,0.3318,1344.73
8.5218,0.2295,997.56
16.1429,0.0653,1725.78
4.7739,0.1598,710.91
177.3736,6.7440,8367.29
results/vgg-16/nitro5/random/summary.log
1.1548,0.3839,121.83
16.7997,0.0345,903.17
7.5588,0.1161,723.81
15.5751,0.0165,1109.72
7.5516,0.0748,918.32
15.5060,0.0188,1380.78
7.5213,0.0485,1068.18
15.7252,0.2780,1728.60
4.9298,0.0060,723.90
160.3980,2.3217,8678.31
results/vgg-16/nitro5/ga/summary.log
0.9506,0.2129,124.62
17.3940,0.0405,900.07
8.9673,0.1342,784.83
17.3838,0.0764,1134.94
8.0400,0.2903,916.00
15.8405,0.0927,1404.44
8.1925,0.1613,1152.17
16.0906,0.1156,1668.75
3.8508,0.0622,679.01
146.2623,0.3769,8764.83
results/vgg-16/nitro5/xgb/summary.log
0.8911,0.0069,125.70
15.9878,0.0556,851.45
7.5801,0.0260,730.12
15.5001,0.0154,1123.18
7.0959,0.0598,931.42
15.0813,0.0342,1379.35
7.4870,0.0662,1085.59
15.5371,0.0929,1713.89
3.9651,0.0197,717.82
146.4868,0.4393,8658.52
