time,droplet,gridsearch,random,ga,xgb,ansor
100,347.0890,353.7691,351.8626,376.2342,,
500,308.7467,307.0539,307.3479,319.8516,,
1000,303.7646,303.5003,304.6542,317.9611,,
2500,299.6825,300.6655,302.3951,307.8312,,
5000,295.6043,296.9300,296.5660,301.2243,,
