sum,A,B,t0
2792901376.00, 64, 80, 90.3494
2792901376.00, 64, 88, 90.3135
2792901376.00, 64, 96, 90.2551
2792901376.00, 64, 104, 90.2333
2792901376.00, 64, 112, 90.1952
2792901376.00, 64, 120, 90.1610
2792901376.00, 64, 128, 90.1517
2792901376.00, 72, 0, 417.3104
2792901376.00, 72, 8, 95.4218
2792901376.00, 72, 16, 92.7112
2792901376.00, 72, 24, 91.8789
2792901376.00, 72, 32, 91.4405
2792901376.00, 72, 40, 90.9235
2792901376.00, 72, 48, 90.5780
2792901376.00, 72, 56, 90.4528
2792901376.00, 72, 64, 90.3530
2792901376.00, 72, 72, 90.2697
2792901376.00, 72, 80, 90.1904
2792901376.00, 72, 88, 90.1590
2792901376.00, 72, 96, 90.0991
2792901376.00, 72, 104, 90.0780
2792901376.00, 72, 112, 90.0307
2792901376.00, 72, 120, 89.9989
2792901376.00, 72, 128, 89.9815
2792901376.00, 80, 0, 417.2333
2792901376.00, 80, 8, 95.3328
2792901376.00, 80, 16, 92.6521
2792901376.00, 80, 24, 91.8310
2792901376.00, 80, 32, 91.4021
2792901376.00, 80, 40, 90.8706
2792901376.00, 80, 48, 90.5213
2792901376.00, 80, 56, 90.3918
2792901376.00, 80, 64, 90.3002
2792901376.00, 80, 72, 90.2187
2792901376.00, 80, 80, 90.1312
2792901376.00, 80, 88, 90.1059
2792901376.00, 80, 96, 90.0522
2792901376.00, 80, 104, 90.0395
2792901376.00, 80, 112, 89.9987
2792901376.00, 80, 120, 89.9659
2792901376.00, 80, 128, 89.9688
2792901376.00, 88, 0, 417.3709
2792901376.00, 88, 8, 95.2733
2792901376.00, 88, 16, 92.7043
2792901376.00, 88, 24, 91.9116
2792901376.00, 88, 32, 91.4618
2792901376.00, 88, 40, 90.9028
2792901376.00, 88, 48, 90.5556
2792901376.00, 88, 56, 90.4260
2792901376.00, 88, 64, 90.3442
2792901376.00, 88, 72, 90.2661
2792901376.00, 88, 80, 90.1824
2792901376.00, 88, 88, 90.1603
2792901376.00, 88, 96, 90.1124
2792901376.00, 88, 104, 90.0952
2792901376.00, 88, 112, 90.0585
2792901376.00, 88, 120, 90.0257
2792901376.00, 88, 128, 90.0116
2792901376.00, 96, 0, 417.2855
2792901376.00, 96, 8, 95.3269
2792901376.00, 96, 16, 92.7743
2792901376.00, 96, 24, 91.9540
2792901376.00, 96, 32, 91.5440
2792901376.00, 96, 40, 91.0097
2792901376.00, 96, 48, 90.6642
2792901376.00, 96, 56, 90.5469
2792901376.00, 96, 64, 90.4622
2792901376.00, 96, 72, 90.3954
2792901376.00, 96, 80, 90.3160
2792901376.00, 96, 88, 90.2920
2792901376.00, 96, 96, 90.2444
2792901376.00, 96, 104, 90.2412
2792901376.00, 96, 112, 90.1980
2792901376.00, 96, 120, 90.1538
2792901376.00, 96, 128, 90.1411
2792901376.00, 104, 0, 417.2388
2792901376.00, 104, 8, 95.5234
2792901376.00, 104, 16, 92.9221
2792901376.00, 104, 24, 92.0986
2792901376.00, 104, 32, 91.7039
2792901376.00, 104, 40, 91.1866
2792901376.00, 104, 48, 90.8438
2792901376.00, 104, 56, 90.7233
2792901376.00, 104, 64, 90.6471
2792901376.00, 104, 72, 90.5747
2792901376.00, 104, 80, 90.4978
2792901376.00, 104, 88, 90.4755
2792901376.00, 104, 96, 90.4242
2792901376.00, 104, 104, 90.4101
2792901376.00, 104, 112, 90.3953
2792901376.00, 104, 120, 90.3701
2792901376.00, 104, 128, 90.3454
2792901376.00, 112, 0, 417.3290
