sum,A,B,t0
2792901376.00, 0, 0, 695.2259
2792901376.00, 0, 8, 695.2275
2792901376.00, 0, 16, 695.1554
2792901376.00, 0, 24, 695.1443
2792901376.00, 0, 32, 695.1654
2792901376.00, 0, 40, 695.2444
2792901376.00, 0, 48, 695.2224
2792901376.00, 0, 56, 695.2504
2792901376.00, 0, 64, 695.3799
2792901376.00, 0, 72, 695.2049
2792901376.00, 0, 80, 695.5584
2792901376.00, 0, 88, 695.2292
2792901376.00, 0, 96, 695.0860
2792901376.00, 0, 104, 695.3088
2792901376.00, 0, 112, 695.2468
2792901376.00, 0, 120, 695.0767
2792901376.00, 0, 128, 695.0886
2792901376.00, 8, 0, 695.1092
2792901376.00, 8, 8, 114.3981
2792901376.00, 8, 16, 70.2006
2792901376.00, 8, 24, 56.8783
2792901376.00, 8, 32, 50.0009
2792901376.00, 8, 40, 46.4331
2792901376.00, 8, 48, 43.9402
2792901376.00, 8, 56, 44.4076
2792901376.00, 8, 64, 44.6763
2792901376.00, 8, 72, 45.3865
2792901376.00, 8, 80, 45.7672
2792901376.00, 8, 88, 47.3764
2792901376.00, 8, 96, 48.5310
2792901376.00, 8, 104, 50.0414
2792901376.00, 8, 112, 50.6445
2792901376.00, 8, 120, 51.8447
2792901376.00, 8, 128, 52.1038
2792901376.00, 16, 0, 695.2687
2792901376.00, 16, 8, 118.3338
2792901376.00, 16, 16, 78.1933
2792901376.00, 16, 24, 65.4643
2792901376.00, 16, 32, 59.2703
2792901376.00, 16, 40, 55.6538
2792901376.00, 16, 48, 53.2450
2792901376.00, 16, 56, 52.9304
2792901376.00, 16, 64, 52.8016
2792901376.00, 16, 72, 53.1408
2792901376.00, 16, 80, 53.1312
2792901376.00, 16, 88, 54.3734
2792901376.00, 16, 96, 55.3208
2792901376.00, 16, 104, 56.5716
2792901376.00, 16, 112, 57.3713
2792901376.00, 16, 120, 57.8355
2792901376.00, 16, 128, 58.5047
2792901376.00, 24, 0, 695.2886
2792901376.00, 24, 8, 171.2860
2792901376.00, 24, 16, 131.3251
2792901376.00, 24, 24, 118.6326
2792901376.00, 24, 32, 112.5906
2792901376.00, 24, 40, 108.8391
2792901376.00, 24, 48, 106.6322
2792901376.00, 24, 56, 106.1086
2792901376.00, 24, 64, 105.9593
2792901376.00, 24, 72, 106.1322
2792901376.00, 24, 80, 106.2233
2792901376.00, 24, 88, 106.9403
2792901376.00, 24, 96, 107.5347
2792901376.00, 24, 104, 108.3561
2792901376.00, 24, 112, 108.8884
2792901376.00, 24, 120, 109.3214
2792901376.00, 24, 128, 109.9684
2792901376.00, 32, 0, 695.2673
2792901376.00, 32, 8, 172.1536
2792901376.00, 32, 16, 132.0172
2792901376.00, 32, 24, 119.0881
2792901376.00, 32, 32, 113.0367
2792901376.00, 32, 40, 109.1616
2792901376.00, 32, 48, 106.9747
2792901376.00, 32, 56, 106.4136
2792901376.00, 32, 64, 106.2854
2792901376.00, 32, 72, 106.2521
2792901376.00, 32, 80, 106.3439
2792901376.00, 32, 88, 106.9736
2792901376.00, 32, 96, 107.6319
2792901376.00, 32, 104, 108.2419
2792901376.00, 32, 112, 108.8150
2792901376.00, 32, 120, 108.9485
2792901376.00, 32, 128, 109.2505
2792901376.00, 40, 0, 695.5228
2792901376.00, 40, 8, 173.2211
2792901376.00, 40, 16, 132.7924
2792901376.00, 40, 24, 119.7342
2792901376.00, 40, 32, 113.6167
2792901376.00, 40, 40, 109.7230
2792901376.00, 40, 48, 107.4844
2792901376.00, 40, 56, 106.8271
2792901376.00, 40, 64, 106.7273
2792901376.00, 40, 72, 106.6906
2792901376.00, 40, 80, 106.7693
2792901376.00, 40, 88, 107.3151
2792901376.00, 40, 96, 107.9993
2792901376.00, 40, 104, 108.7169
2792901376.00, 40, 112, 109.1752
2792901376.00, 40, 120, 109.7391
2792901376.00, 40, 128, 110.1020
2792901376.00, 48, 0, 695.5305
2792901376.00, 48, 8, 174.1912
2792901376.00, 48, 16, 133.3318
2792901376.00, 48, 24, 120.1574
2792901376.00, 48, 32, 113.9597
