time,droplet,gridsearch,random,ga,xgb,ansor,
100,69.8014,86.8545,9.0893,40.0049,23.2545,1.9897,
500,19.0497,72.1713,3.1437,4.4518,3.9797,1.9733,
1000,5.7277,53.3616,2.6290,3.1209,2.3904,1.5284,
2500,1.5099,49.6588,2.0343,1.8097,1.8217,1.2673,
5000,1.4258,28.3648,1.8891,1.6129,1.5313,1.2214,
