time,droplet,gridsearch,random,ga,xgb,ansor
100,54.3045,137.4897,4.9119,9.6377,15.2752,5.7181
500,23.7245,47.7884,3.8041,3.4592,3.5119,5.1097
1000,5.2817,34.1240,3.4057,2.6969,2.8954,4.6266
2500,3.2605,26.1646,2.9056,2.3985,2.3548,3.0605
5000,2.8464,10.9061,2.7018,2.1526,2.1768,2.6353
