time,droplet,gridsearch,random,ga,xgb,ansor,
100,907.8506,761.7868,24.1089,17.5716,109.4059,26.2577,
500,444.9219,277.6480,12.9148,13.4824,14.1087,22.5005,
1000,64.1235,66.6529,11.7522,12.6324,11.6009,19.3414,
2500,10.5881,60.0967,11.0542,10.8420,10.7357,27.0899,
5000,10.2242,30.6217,10.5330,10.5341,9.9618,27.5615,
