ElapsedTime(s)	21	EstimatedLatency(ms)	N/A	Trials	11
ElapsedTime(s)	32	EstimatedLatency(ms)	N/A	Trials	22
ElapsedTime(s)	63	EstimatedLatency(ms)	N/A	Trials	33
ElapsedTime(s)	84	EstimatedLatency(ms)	N/A	Trials	44
ElapsedTime(s)	101	EstimatedLatency(ms)	N/A	Trials	55
ElapsedTime(s)	116	EstimatedLatency(ms)	N/A	Trials	66
ElapsedTime(s)	154	EstimatedLatency(ms)	N/A	Trials	77
ElapsedTime(s)	165	EstimatedLatency(ms)	N/A	Trials	88
ElapsedTime(s)	181	EstimatedLatency(ms)	165.722	Trials	99
ElapsedTime(s)	200	EstimatedLatency(ms)	160.744	Trials	110
