
resnet-18
droplet
102.3906,0.6085,11295.03
gridsearch
125.3579,2.8594,19661.62
random
115.0915,3.3529,26103.34
ga
113.9296,3.3015,22940.37
xgb
105.6763,3.2871,25371.93
ansor
111.2179,0.3783,62228.73

vgg-16
droplet
940.6027,7.1640,22503.83
gridsearch
1056.2892,1.4382,39088.12
random
1508.7350,102.3182,45186.59
ga
1682.5012,91.8611,46189.51
xgb
ansor
968.5677,10.6728,70770.00

mobilenet
droplet
84.7598,0.7970,8681.79
gridsearch
241.7393,35.8158,24848.95
random
208.8172,26.7159,31979.08
ga
253.5672,39.8409,29417.17
xgb
261.2314,54.2320,78232.27
ansor
55.5611,0.9664,47482.06

mxnet
droplet
gridsearch
random
ga
xgb
ansor

inception_v3
droplet
408.2568,1.0943,15644.10
gridsearch
503.0677,1.4189,17165.33
random
439.9415,1.7366,24572.68
ga
422.5393,1.0570,22587.90
xgb
408.2558,1.1078,26486.21
ansor
430.8657,0.9816,52137.36

