
resnet-18
droplet
gridsearch
672.1153,10.2139,18023.47
867.0159,13.6691,18023.47
random
650.6249,8.4200,23136.37
841.5646,12.5939,23136.37
ga
641.4131,8.9720,20901.96
834.3949,10.1017,20901.96
xgb
ansor
vgg-16
droplet
gridsearch
random
ga
xgb
ansor
mobilenet
droplet
gridsearch
random
ga
xgb
ansor
mxnet
droplet
gridsearch
random
ga
xgb
ansor
inception_v3
droplet
gridsearch
random
ga
xgb
ansor
