time,droplet,gridsearch,random,ga,xgb,ansor,
100,4515.1517,3492.4077,1876.7722,2056.5083,1740.0546,1390.9492,
500,2773.6550,1400.6386,1296.0998,1250.7785,1176.2656,1876.8603,
1000,1404.7161,1249.2155,1216.5812,1426.9613,1157.2186,1798.5813,
2500,1119.5318,1155.3023,1061.3121,1416.7044,907.9059,1074.8799,
5000,1017.5302,1094.6116,1043.1664,1159.6069,811.1595,1003.6388,
10000,991.2571,1051.6659,960.0217,1051.7531,802.6456,953.9650,
