time,droplet,gridsearch,random,ga,xgb,ansor,
100,591.4274,313.5556,200.0868,169.0566,158.7770,176.1786,
500,310.6136,168.7490,120.2639,125.2370,128.4008,175.0840,
1000,165.0097,138.0793,118.1874,113.7832,113.3078,204.8734,
2500,126.5451,130.5551,113.2400,106.6388,100.8119,144.5085,
5000,111.9066,125.4894,107.2318,102.7722,101.6496,120.6503,
10000,104.6684,116.4787,102.9211,99.2955,99.4504,110.4065,
