time,droplet,gridsearch,random,ga,xgb,ansor,
100,1647.1558,1206.1236,701.7301,645.9884,682.5246,731.7586,
500,1424.0321,847.1159,530.5649,538.3291,588.9991,754.4988,
1000,1141.9754,824.8111,502.3095,526.9370,488.7132,761.4798,
2500,668.5960,614.3399,452.1523,481.6019,450.0224,644.6642,
5000,505.9177,530.9048,441.4717,431.4654,424.8695,505.5986,
10000,489.3454,493.8272,434.0805,405.4370,397.2502,427.6208,
