time,droplet,gridsearch,random,ga,xgb,ansor,
100,80.9079,78.4996,19.5654,19.5167,32.4612,5.2259,
500,61.1465,50.3196,5.7452,3.3899,4.8687,5.1251,
1000,18.2126,25.3403,2.9173,2.9952,3.1351,2.6520,
2500,2.1784,22.4513,2.2150,2.0324,1.9624,1.8823,
5000,1.6383,17.3473,1.9120,1.8699,1.6718,1.8195,
