time,droplet,gridsearch,random,ga,xgb,ansor,
100,108.2423,162.7276,40.4842,42.3290,44.5795,46.7599,
500,41.8060,52.2534,37.8048,36.7287,39.3496,47.6236,
1000,37.3035,39.5941,36.8734,35.5087,37.5834,48.7943,
2500,35.6946,36.2967,35.5494,36.0736,34.8972,44.1399,
5000,35.5154,34.9125,35.4006,35.1456,34.2311,39.6916,
