time,droplet,gridsearch,random,ga,xgb,ansor,
100,145.6680,125.7386,6.3437,3.7186,4.0895,5.1605,
500,62.3914,43.7977,2.4672,2.4052,2.6487,4.6562,
1000,11.5019,10.3850,2.3933,2.2767,2.2748,4.4298,
2500,2.2753,8.8470,2.2273,2.1563,2.0583,3.4046,
5000,1.9505,5.3502,2.1048,2.0133,1.9866,2.9693,
