time,droplet,gridsearch,random,ga,xgb,ansor,
100,16.7592,15.7675,3.8604,2.5204,36.4592,0.4377,
500,10.2191,8.6918,0.9650,0.8451,0.8112,0.4464,
1000,1.6846,6.2989,0.6265,0.7691,0.6835,0.4451,
2500,0.4669,5.9854,0.5295,0.5658,0.4119,0.3000,
5000,0.4201,3.5341,0.5195,0.4528,0.3464,0.2785,
