time,droplet,gridsearch,random,ga,xgb,ansor
100,15.9272,24.1123,1.9212,1.3566,1.3520,3.0216
500,3.4665,6.4381,0.9055,0.8637,0.9382,2.2735
1000,1.8051,4.6365,0.7713,0.7537,0.8674,1.7995
2500,0.5802,3.7876,0.7464,0.5974,0.5788,0.9266
5000,0.5393,2.1074,0.6997,0.5573,0.5371,0.7816
