time,droplet,gridsearch,random,ga,xgb,ansor,
100,129.2294,129.5450,205.5421,1639.8742,119.2247,5.7934,
500,77.7966,119.3672,9.9416,23.2505,18.7698,5.2250,
1000,47.0240,102.6602,7.6557,8.7453,8.3597,4.5133,
2500,10.8548,57.0828,5.8841,6.0091,6.1781,4.3679,
5000,5.2498,43.9118,5.2600,4.6166,4.2611,3.2242,
