time,droplet,gridsearch,random,ga,xgb,ansor,
100,194.8060,228.1885,89.1398,80.4758,87.9137,68.3772,
500,147.4697,209.4634,69.4922,70.7115,65.8829,66.5959,
1000,99.8368,147.5570,64.1487,67.3195,64.8486,79.3418,
2500,70.1042,79.9015,59.6205,62.0474,61.9849,73.1068,
5000,62.3093,70.4654,57.7768,59.8677,61.3233,61.1128,
