sum,A,B,t0
2792901376.00, 64, 80, 6.3938
2792901376.00, 64, 88, 6.3993
2792901376.00, 64, 96, 6.4070
2792901376.00, 64, 104, 6.4217
2792901376.00, 64, 112, 6.4326
2792901376.00, 64, 120, 6.4463
2792901376.00, 64, 128, 6.4562
2792901376.00, 72, 0, 10.6747
2792901376.00, 72, 8, 6.4728
2792901376.00, 72, 16, 6.4042
2792901376.00, 72, 24, 6.3915
2792901376.00, 72, 32, 6.3834
2792901376.00, 72, 40, 6.3741
2792901376.00, 72, 48, 6.3677
2792901376.00, 72, 56, 6.3928
2792901376.00, 72, 64, 6.4098
2792901376.00, 72, 72, 6.4020
2792901376.00, 72, 80, 6.3960
2792901376.00, 72, 88, 6.4281
2792901376.00, 72, 96, 6.4583
2792901376.00, 72, 104, 6.4578
2792901376.00, 72, 112, 6.4566
2792901376.00, 72, 120, 6.4687
2792901376.00, 72, 128, 6.4768
2792901376.00, 80, 0, 10.6798
2792901376.00, 80, 8, 6.5025
2792901376.00, 80, 16, 6.4141
2792901376.00, 80, 24, 6.5254
2792901376.00, 80, 32, 6.4637
2792901376.00, 80, 40, 6.4555
2792901376.00, 80, 48, 6.4406
2792901376.00, 80, 56, 6.4435
2792901376.00, 80, 64, 6.4423
2792901376.00, 80, 72, 6.4385
2792901376.00, 80, 80, 6.4358
2792901376.00, 80, 88, 6.4579
2792901376.00, 80, 96, 6.4825
2792901376.00, 80, 104, 6.4887
2792901376.00, 80, 112, 6.4897
2792901376.00, 80, 120, 6.5047
2792901376.00, 80, 128, 6.5056
2792901376.00, 88, 0, 10.6869
2792901376.00, 88, 8, 6.7025
2792901376.00, 88, 16, 6.6453
2792901376.00, 88, 24, 6.6387
2792901376.00, 88, 32, 6.6259
2792901376.00, 88, 40, 6.6570
2792901376.00, 88, 48, 6.6486
2792901376.00, 88, 56, 6.6805
2792901376.00, 88, 64, 6.6994
2792901376.00, 88, 72, 6.6957
2792901376.00, 88, 80, 6.6686
2792901376.00, 88, 88, 6.6817
2792901376.00, 88, 96, 6.7064
2792901376.00, 88, 104, 6.7308
2792901376.00, 88, 112, 6.7167
2792901376.00, 88, 120, 6.7134
2792901376.00, 88, 128, 6.7150
2792901376.00, 96, 0, 10.6925
2792901376.00, 96, 8, 6.7692
2792901376.00, 96, 16, 6.6781
2792901376.00, 96, 24, 6.6521
2792901376.00, 96, 32, 6.6799
2792901376.00, 96, 40, 6.6825
2792901376.00, 96, 48, 6.6941
2792901376.00, 96, 56, 6.7551
2792901376.00, 96, 64, 6.7454
2792901376.00, 96, 72, 6.7614
2792901376.00, 96, 80, 6.7953
2792901376.00, 96, 88, 6.7639
2792901376.00, 96, 96, 6.7589
2792901376.00, 96, 104, 6.7607
2792901376.00, 96, 112, 6.7644
2792901376.00, 96, 120, 6.7723
2792901376.00, 96, 128, 6.7619
2792901376.00, 104, 0, 10.6846
2792901376.00, 104, 8, 6.7572
2792901376.00, 104, 16, 6.6641
2792901376.00, 104, 24, 6.6509
2792901376.00, 104, 32, 6.6670
2792901376.00, 104, 40, 6.6442
2792901376.00, 104, 48, 6.6578
2792901376.00, 104, 56, 6.7139
2792901376.00, 104, 64, 6.7330
2792901376.00, 104, 72, 6.7616
2792901376.00, 104, 80, 6.7842
2792901376.00, 104, 88, 6.7793
2792901376.00, 104, 96, 6.7725
2792901376.00, 104, 104, 6.7708
2792901376.00, 104, 112, 6.7882
2792901376.00, 104, 120, 6.7433
2792901376.00, 104, 128, 6.7791
2792901376.00, 112, 0, 10.6862
2792901376.00, 112, 8, 6.7300
2792901376.00, 112, 16, 6.6327
2792901376.00, 112, 24, 6.6350
2792901376.00, 112, 32, 6.6336
2792901376.00, 112, 40, 6.6361
2792901376.00, 112, 48, 6.6261
2792901376.00, 112, 56, 6.6546
2792901376.00, 112, 64, 6.6922
2792901376.00, 112, 72, 6.7063
2792901376.00, 112, 80, 6.7132
2792901376.00, 112, 88, 6.7109
2792901376.00, 112, 96, 6.7049
2792901376.00, 112, 104, 6.7034
2792901376.00, 112, 112, 6.7062
2792901376.00, 112, 120, 6.7101
2792901376.00, 112, 128, 6.7066
2792901376.00, 120, 0, 10.6854
2792901376.00, 120, 8, 6.7491
2792901376.00, 120, 16, 6.6745
2792901376.00, 120, 24, 6.6854
2792901376.00, 120, 32, 6.6792
2792901376.00, 120, 40, 6.6701
2792901376.00, 120, 48, 6.6620
2792901376.00, 120, 56, 6.6980
2792901376.00, 120, 64, 6.7230
2792901376.00, 120, 72, 6.7200
2792901376.00, 120, 80, 6.7208
2792901376.00, 120, 88, 6.7180
2792901376.00, 120, 96, 6.7301
2792901376.00, 120, 104, 6.7240
2792901376.00, 120, 112, 6.7296
2792901376.00, 120, 120, 6.7255
2792901376.00, 120, 128, 6.7269
2792901376.00, 128, 0, 10.6798
2792901376.00, 128, 8, 6.7111
2792901376.00, 128, 16, 6.6335
2792901376.00, 128, 24, 6.6872
2792901376.00, 128, 32, 6.6863
2792901376.00, 128, 40, 6.7048
2792901376.00, 128, 48, 6.7312
2792901376.00, 128, 56, 6.7246
2792901376.00, 128, 64, 6.7331
2792901376.00, 128, 72, 6.7296
2792901376.00, 128, 80, 6.7345
2792901376.00, 128, 88, 6.7236
2792901376.00, 128, 96, 6.7329
2792901376.00, 128, 104, 6.7400
2792901376.00, 128, 112, 6.7314
2792901376.00, 128, 120, 6.7323
2792901376.00, 128, 128, 6.7240
