sum,A,B,t0
2792901376.00, 0, 0, 9.5715
2792901376.00, 0, 8, 9.5606
2792901376.00, 0, 16, 9.5599
2792901376.00, 0, 24, 9.5620
2792901376.00, 0, 32, 9.5610
2792901376.00, 0, 40, 9.5592
2792901376.00, 0, 48, 9.5581
2792901376.00, 0, 56, 9.5620
2792901376.00, 0, 64, 9.5610
2792901376.00, 0, 72, 9.5647
2792901376.00, 0, 80, 9.5598
2792901376.00, 0, 88, 9.5624
2792901376.00, 0, 96, 9.5593
2792901376.00, 0, 104, 9.5581
2792901376.00, 0, 112, 9.5593
2792901376.00, 0, 120, 9.6515
2792901376.00, 0, 128, 9.6731
2792901376.00, 8, 0, 9.6609
2792901376.00, 8, 8, 5.4543
2792901376.00, 8, 16, 5.6803
2792901376.00, 8, 24, 5.6331
2792901376.00, 8, 32, 5.6197
2792901376.00, 8, 40, 5.5369
2792901376.00, 8, 48, 5.4578
2792901376.00, 8, 56, 5.4083
2792901376.00, 8, 64, 5.3865
2792901376.00, 8, 72, 5.3469
2792901376.00, 8, 80, 5.3179
2792901376.00, 8, 88, 5.2947
2792901376.00, 8, 96, 5.2520
2792901376.00, 8, 104, 5.2396
2792901376.00, 8, 112, 5.2231
2792901376.00, 8, 120, 5.2072
2792901376.00, 8, 128, 5.1899
2792901376.00, 16, 0, 9.6573
2792901376.00, 16, 8, 5.7297
2792901376.00, 16, 16, 5.3111
2792901376.00, 16, 24, 5.2323
2792901376.00, 16, 32, 5.2100
2792901376.00, 16, 40, 5.1010
2792901376.00, 16, 48, 5.0282
2792901376.00, 16, 56, 5.0127
2792901376.00, 16, 64, 4.9843
2792901376.00, 16, 72, 4.9827
2792901376.00, 16, 80, 4.9508
2792901376.00, 16, 88, 4.9258
2792901376.00, 16, 96, 4.9061
2792901376.00, 16, 104, 4.8977
2792901376.00, 16, 112, 4.8836
2792901376.00, 16, 120, 4.8685
2792901376.00, 16, 128, 4.8592
2792901376.00, 24, 0, 9.6600
2792901376.00, 24, 8, 5.7695
2792901376.00, 24, 16, 5.2371
2792901376.00, 24, 24, 5.0450
2792901376.00, 24, 32, 4.9920
2792901376.00, 24, 40, 4.9333
2792901376.00, 24, 48, 4.9133
2792901376.00, 24, 56, 4.8562
2792901376.00, 24, 64, 4.8346
2792901376.00, 24, 72, 4.8240
2792901376.00, 24, 80, 4.7997
2792901376.00, 24, 88, 4.7915
2792901376.00, 24, 96, 4.7818
2792901376.00, 24, 104, 4.7737
2792901376.00, 24, 112, 4.7648
2792901376.00, 24, 120, 4.7567
2792901376.00, 24, 128, 4.7490
2792901376.00, 32, 0, 9.6606
2792901376.00, 32, 8, 5.6067
2792901376.00, 32, 16, 5.1271
2792901376.00, 32, 24, 4.9769
2792901376.00, 32, 32, 4.9100
2792901376.00, 32, 40, 4.8493
2792901376.00, 32, 48, 4.7901
2792901376.00, 32, 56, 4.7786
2792901376.00, 32, 64, 4.7453
2792901376.00, 32, 72, 4.7688
2792901376.00, 32, 80, 4.7412
2792901376.00, 32, 88, 4.7378
2792901376.00, 32, 96, 4.7111
2792901376.00, 32, 104, 4.7164
2792901376.00, 32, 112, 4.7113
2792901376.00, 32, 120, 4.6981
2792901376.00, 32, 128, 4.6912
2792901376.00, 40, 0, 9.6561
2792901376.00, 40, 8, 6.7106
2792901376.00, 40, 16, 6.0604
2792901376.00, 40, 24, 5.9300
2792901376.00, 40, 32, 5.7784
2792901376.00, 40, 40, 5.7536
2792901376.00, 40, 48, 5.7049
2792901376.00, 40, 56, 5.6968
2792901376.00, 40, 64, 5.6735
2792901376.00, 40, 72, 5.6804
2792901376.00, 40, 80, 5.6684
2792901376.00, 40, 88, 5.6721
2792901376.00, 40, 96, 5.6629
2792901376.00, 40, 104, 5.6674
2792901376.00, 40, 112, 5.6577
2792901376.00, 40, 120, 5.6643
2792901376.00, 40, 128, 5.6674
2792901376.00, 48, 0, 9.6591
2792901376.00, 48, 8, 7.4825
2792901376.00, 48, 16, 6.8216
2792901376.00, 48, 24, 6.8051
2792901376.00, 48, 32, 6.5086
2792901376.00, 48, 40, 6.5150
2792901376.00, 48, 48, 6.4615
2792901376.00, 48, 56, 6.4690
2792901376.00, 48, 64, 6.4577
2792901376.00, 48, 72, 6.4830
2792901376.00, 48, 80, 6.4524
2792901376.00, 48, 88, 6.4828
2792901376.00, 48, 96, 6.5055
2792901376.00, 48, 104, 6.5088
2792901376.00, 48, 112, 6.5054
2792901376.00, 48, 120, 6.5101
2792901376.00, 48, 128, 6.5217
2792901376.00, 56, 0, 9.6576
2792901376.00, 56, 8, 7.2918
2792901376.00, 56, 16, 6.7061
2792901376.00, 56, 24, 6.6158
2792901376.00, 56, 32, 6.4854
2792901376.00, 56, 40, 6.4926
2792901376.00, 56, 48, 6.4490
2792901376.00, 56, 56, 6.4645
