sum,A,B,t0
2792901376.00, 0, 0, 2.2937
2792901376.00, 0, 8, 2.3108
2792901376.00, 0, 16, 2.3908
2792901376.00, 0, 24, 2.3338
2792901376.00, 0, 32, 2.3351
2792901376.00, 0, 40, 2.3478
2792901376.00, 0, 48, 2.3975
2792901376.00, 0, 56, 2.3135
2792901376.00, 0, 64, 2.3648
2792901376.00, 0, 72, 2.3123
2792901376.00, 0, 80, 2.4167
2792901376.00, 0, 88, 2.3715
2792901376.00, 0, 96, 2.3371
2792901376.00, 0, 104, 2.4021
2792901376.00, 0, 112, 2.3965
2792901376.00, 0, 120, 2.3788
2792901376.00, 0, 128, 2.3640
2792901376.00, 8, 0, 2.5298
2792901376.00, 8, 8, 5.2067
2792901376.00, 8, 16, 5.5789
2792901376.00, 8, 24, 5.4646
2792901376.00, 8, 32, 5.3775
2792901376.00, 8, 40, 5.3589
2792901376.00, 8, 48, 5.2789
2792901376.00, 8, 56, 5.2450
2792901376.00, 8, 64, 5.1552
2792901376.00, 8, 72, 5.2514
2792901376.00, 8, 80, 5.1498
2792901376.00, 8, 88, 5.2223
2792901376.00, 8, 96, 5.2439
2792901376.00, 8, 104, 5.2772
2792901376.00, 8, 112, 5.1538
2792901376.00, 8, 120, 5.1272
2792901376.00, 8, 128, 5.1369
2792901376.00, 16, 0, 2.3410
2792901376.00, 16, 8, 5.3555
2792901376.00, 16, 16, 5.1278
2792901376.00, 16, 24, 5.0416
2792901376.00, 16, 32, 4.9996
2792901376.00, 16, 40, 5.1075
2792901376.00, 16, 48, 5.5310
2792901376.00, 16, 56, 5.0843
2792901376.00, 16, 64, 5.0385
2792901376.00, 16, 72, 5.0328
2792901376.00, 16, 80, 5.0870
2792901376.00, 16, 88, 5.0520
2792901376.00, 16, 96, 5.1600
2792901376.00, 16, 104, 5.3926
2792901376.00, 16, 112, 4.9744
2792901376.00, 16, 120, 4.9313
2792901376.00, 16, 128, 4.9149
2792901376.00, 24, 0, 2.2529
2792901376.00, 24, 8, 5.1880
2792901376.00, 24, 16, 5.2071
2792901376.00, 24, 24, 5.1981
2792901376.00, 24, 32, 5.0706
2792901376.00, 24, 40, 5.0527
2792901376.00, 24, 48, 5.0030
2792901376.00, 24, 56, 5.0340
2792901376.00, 24, 64, 5.0843
2792901376.00, 24, 72, 4.9698
2792901376.00, 24, 80, 5.0730
