time,droplet,gridsearch,random,ga,xgb,ansor,
100,662.6069,789.6171,412.6568,300.1732,883.5707,30.7223,
500,449.6744,634.1004,37.4042,42.5559,47.3952,23.8640,
1000,181.9099,588.7870,31.4469,38.5325,27.2213,23.2859,
2500,33.8701,452.5499,23.2068,21.5217,23.8001,18.7772,
5000,16.7809,329.6535,20.3328,17.7459,19.7550,12.6760,
