time,droplet,gridsearch,random,ga,xgb,ansor,
100,358.7908,487.9259,667.0451,199.9098,275.6710,13.0914,
500,162.3939,342.4881,15.9174,15.0681,13.4808,12.8148,
1000,79.8967,211.8458,12.1042,11.4258,10.7613,10.2517,
2500,8.6448,193.2650,9.1108,9.2250,8.2611,7.4017,
5000,7.3169,148.1684,7.7898,7.4801,6.5790,7.2688,
