
1340
10024
10024
10024
10024
10048
----------

960
11326
11326
11326
11326
10020
----------

1996
10108
10108
9564
10108
10048
----------

2394
9808
9808
9808
9808
10046
----------

5895
10668
10668
9912
10668
10000
----------

