time,droplet,gridsearch,random,ga,xgb,ansor,
100,19.0233,24.5626,7.0100,7.8377,7.4442,8.4617,
500,7.7300,8.8889,6.6096,6.7756,7.5272,8.6151,
1000,6.9855,7.4227,6.5593,6.8377,6.5121,9.2686,
2500,6.2009,6.5623,6.4890,6.5834,6.3731,6.0789,
5000,6.0955,6.7652,6.4055,6.5967,6.7336,5.5457,
