time,droplet,gridsearch,random,ga,xgb,ansor
100,266.2835,450.6295,147.7766,146.6141,164.3312,264.5130
500,136.2347,202.0545,136.5605,132.9862,140.0360,242.7548
1000,135.9364,145.2150,136.3949,134.2933,131.8705,177.8700
2500,134.8837,130.5101,133.0550,130.1499,129.6132,129.4593
5000,127.8837,129.6076,131.8074,130.3963,129.3199,127.3927
