time,droplet,gridsearch,random,ga,xgb,ansor,
100,117.8857,211.3688,55.2080,55.3531,58.3913,59.7914,
500,48.8725,70.7781,46.7876,49.6080,46.8663,59.9872,
1000,47.4420,58.8083,46.5933,48.3746,45.7791,60.3588,
2500,47.3754,47.1202,46.0367,46.2482,45.7182,49.1943,
5000,47.3901,45.6474,45.8441,45.8444,45.6491,46.2903,
