time,droplet,gridsearch,random,ga,xgb,ansor,
100,1175.3597,1612.7781,485.3813,490.7085,489.7206,653.5679,
500,433.3010,689.5700,421.3500,431.0965,430.5498,649.9856,
1000,418.0371,554.3415,413.0398,420.7213,400.1028,494.3515,
2500,419.2604,402.6989,411.4299,404.8757,400.1207,415.5007,
5000,417.2927,400.2278,408.3085,401.7719,401.1187,404.4713,
