time,droplet,gridsearch,random,ga,xgb,ansor,
100,58.3247,78.2207,21.7975,22.3670,20.3887,25.7025,
500,24.5224,27.3838,18.5793,18.7730,18.3452,25.6691,
1000,21.2209,22.2312,17.4961,18.4401,17.9778,23.4096,
2500,18.1736,18.6505,17.5700,17.3010,17.2179,16.3784,
5000,18.2318,16.7555,16.9079,17.0329,17.4415,15.3733,
